Ticker,Security,Start Date,End Date,Period,Period 2,Currency,DATE 1,Best Div Yld,Best_EV,CUR_MKT_CAP,YEARLY DATA,NET_DEBT,BEST_EPS,BEST_EBITDA
MMM,MMM US Equity,44631,44631,D,Q,USD,44631,4.261,93022.256,80502.256,44561,13552,2.556,2390.4
AOS,AOS US Equity,44631,44631,D,Q,USD,44631,1.704,9921.534,10319.5337,44561,-400.7,0.801,179.5
ABT,ABT US Equity,44631,44631,D,Q,USD,44631,1.719,207170.248,201072.2481,44561,8934,1.107,2736.714
ABBV,ABBV US Equity,44631,44631,D,Q,USD,44631,3.775,325604.646,263650.4458,44561,67745,3.146,8569
ABMD,ABMD US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,12772.591,13053.591,44561,-922.822,1.09,70.967
ACN,ACN US Equity,44631,44631,D,Q,USD,44631,1.271,198118.786,205422.3266,44561,-2166.807,2.407,2497.444
ATVI,ATVI US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,54972.554,62580.3539,44561,-6526,0.799,845.857
ADM,ADM US Equity,44631,44631,D,Q,USD,44631,1.895,54962.125,46997.1254,44561,9638,1.19,1131.857
ADBE,ADBE US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,194949.397,196677.3965,44561,-1125,3.345,2163.778
ADP,ADP US Equity,44631,44631,D,Q,USD,44631,1.984,#N/A N/A,87062.7821,44561,1684.5,2.074,1250.4
AAP,AAP US Equity,44631,44631,D,Q,USD,44631,2.94,12974.544,12468.7939,44561,3235.664,3.312,353.6
AES,AES US Equity,44631,44631,D,Q,USD,44631,2.883,#N/A N/A,14816.1722,44561,17972,0.34,474
AFL,AFL US Equity,44631,44631,D,Q,USD,44631,2.718,#N/A N/A,38965.6581,44561,3010,1.343,#N/A N/A
A,A US Equity,44631,44631,D,Q,USD,44631,0.629,#N/A N/A,39107.7742,44561,1572,1.116,446.714
AIG,AIG US Equity,44631,44631,D,Q,USD,44631,2.267,#N/A N/A,46441.1992,44561,29165,1.317,#N/A N/A
APD,APD US Equity,44631,44631,D,Q,USD,44631,2.941,53788.46,48640.3604,44561,3695.7,2.514,1058.75
AKAM,AKAM US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,17408.591,17387.9914,44561,692.694,1.449,395.769
ALK,ALK US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,6147.0446,44561,970,-0.526,18.333
ALB,ALB US Equity,44631,44631,D,Q,USD,44631,1.183,24101.693,21623.685,44561,2876.86,1.174,237.75
ARE,ARE US Equity,44631,44631,D,Q,USD,44631,2.48,#N/A N/A,30138.1219,44561,8949.06,0.74,360.667
ALGN,ALGN US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,31771.991,31570.9906,44561,-1171.287,2.968,341.667
ALLE,ALLE US Equity,44631,44631,D,Q,USD,44631,1.473,10932.23,9820.9305,44561,1136.6,1.098,146.167
LNT,LNT US Equity,44631,44631,D,Q,USD,44631,2.823,23049.331,15086.331,44561,7858,0.638,389
ALL,ALL US Equity,44631,44631,D,Q,USD,44631,2.769,44293.337,34342.3369,44561,7678,2.976,#N/A N/A
GOOGL,GOOGL US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,1589077.697,1720902.447,44561,-111141,28.245,26855.364
GOOG,GOOG US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,1589077.697,1720902.447,44561,-111141,28.245,26855.364
MO,MO US Equity,44631,44631,D,Q,USD,44631,7.373,122449.15,91735.1496,44561,23500,1.088,2893
AMZN,AMZN US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,1521993.9,1480986.567,44561,36269,14.854,18286.8
AMCR,AMCR US Equity,44631,44631,D,Q,USD,44631,4.404,22550.127,16499.6267,44561,6510,0.2,534.8
AMD,AMD US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,165591.226,169717.8931,44561,-2876,0.684,1104.6
AEE,AEE US Equity,44631,44631,D,Q,USD,44631,2.643,36360.821,22345.8206,44561,13604,0.978,724.5
AAL,AAL US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,35976.725,9101.2248,44561,33721,-1.359,-264
AEP,AEP US Equity,44631,44631,D,Q,USD,44631,3.329,86627.937,48174.9366,44561,35987.1,1.28,1662
AXP,AXP US Equity,44631,44631,D,Q,USD,44631,1.226,#N/A N/A,127495.7035,44561,18890,2.273,#N/A N/A
AMT,AMT US Equity,44631,44631,D,Q,USD,44631,2.53,152340.297,107059.9878,44561,50058.7,1.301,1535.833
AWK,AWK US Equity,44631,44631,D,Q,USD,44631,1.689,38455.737,27636.7366,44561,10941,0.748,434.5
AMP,AMP US Equity,44631,44631,D,Q,USD,44631,1.776,#N/A N/A,30109.8594,44561,-3875,5.848,#N/A N/A
ABC,ABC US Equity,44631,44631,D,Q,USD,44631,1.28,32713.149,30232.9067,44561,3512.219,2.878,935.333
